area_fips,medhhinc2000,ln_medhhinc2000
37119,50579,10.831291749368175
37121,30508,10.32574422328413
37123,32903,10.401319118006661
37125,41240,10.627163938130897
37127,37147,10.522638293183938
37129,40172,10.60092551451323
37131,26652,10.190619473682428
37133,33756,10.426913458277857
37135,42372,10.654243045716386
37137,34084,10.436583344947847
37139,30444,10.323644209387282
37141,35902,10.488548283231015
37143,29538,10.293432848986255
37145,37159,10.522961281909057
37147,32868,10.400254819051078
37149,36259,10.498442905329538
37151,38348,10.554457654196888
37153,28830,10.269171790632448
37155,28202,10.247148176397175
37157,33784,10.42774259661378
37159,37494,10.531936199157137
37161,31122,10.345670243579455
37163,31793,10.367001418750867
37165,31010,10.342065012094494
37167,36898,10.51591262801771
37169,38808,10.566381689925052
37171,33046,10.405655809210936
37173,28608,10.26144167797324
37175,38587,10.560670711162487
37177,25684,10.153623508913938
37179,50638,10.832457561567356
37181,31301,10.351405324899678
37183,54988,10.91487025859131
37185,28351,10.252417581902414
37187,28865,10.270385067495035
37189,32611,10.39240493375324
37191,33942,10.43240846457121
37193,34258,10.441675393057931
37195,33116,10.407771828258696
37197,36660,10.509441521393695
37199,29674,10.298026520510739
38001,29079,10.277771543160718
38003,31166,10.347083036005559
38005,26688,10.191969305158473
38007,32667,10.394120673014172
38009,29853,10.304040616283272
38011,31906,10.370549358860943
38013,25330,10.13974474299572
38015,41309,10.628835672884062
38017,38147,10.549202396661185
38019,31868,10.369357650500257
38021,29231,10.28298506894671
38023,30089,10.311914935439406
38025,30015,10.309452535685944
38027,28642,10.262629451038649
38029,26119,10.17041829781828
38031,32019,10.374084755582075
38033,29967,10.307852055200259
38035,35785,10.485284090172698
38037,23165,10.05039779785075
38039,29572,10.294583246676991
38041,29209,10.282232159944682
38043,25389,10.142071288338215
38045,29707,10.299137987255902
38047,27986,10.239459664115659
38049,27274,10.21368914641778
38051,26389,10.180702535638066
38053,29342,10.28677521569959
38055,32337,10.383967364449738
38057,42269,10.651809235840728
38059,37028,10.519429662187102
38061,27098,10.207215203406376
38063,28892,10.271320019170737
38065,36650,10.509168707314798
38067,36430,10.503147890002609
38069,26524,10.185805262488758
38071,35600,10.480100916840122
38073,37672,10.536672391923391
38075,30746,10.333515183472544
38077,36098,10.493992741124194
38079,26232,10.174735318524483
38081,37213,10.524413441579078
38083,24450,10.104385494903019
38085,22483,10.020514747061002
38087,24667,10.113221596940404
38089,32526,10.389795048488393
38091,35757,10.484501333150819
38093,33848,10.429635192399903
38095,32740,10.396352850925126
38097,37445,10.530628468683467
